,words,bow
294,bike,2
295,guitar,48
296,eversince,4
297,ocean,24
298,lễ,268
299,diu,4
300,thấu,26
301,dăm,6
302,qui,14
303,nthich,2
304,wants,2
305,kemnisaka,2
306,xấu,40
307,fa,40
308,nhện,2
309,thêm,5760
310,tih,2
311,monster,26
312,dự,70
313,xịn,18
314,trc,22
315,cuả,4
316,english,18
317,nưa,12
318,nền,72
319,thôi,3730
320,thỏ,22
321,dại,12
322,nhu,44
323,qài,4
324,um,6
325,pvụ,2
326,tuyetvoi,2
327,mochi,20
328,fact,2
329,china,6
330,nhadự,2
331,bành,8
332,deserts,2
333,mễ,8
334,puping,2
335,dâ,36
336,luon,8
337,nhem,2
338,value,2
339,tư,484
340,grean,2
341,fi,8
342,dthuong,4
343,hd,2
344,rose,16
345,khô,1034
346,didnt,2
347,ruốc,8
348,ru,44
349,pink,8
350,phong,142
351,kanikama,2
352,yumy,10
353,nhỏ,4394
354,gỡ,14
355,hihicác,2
356,rối,32
357,socola,76
358,bulogi,2
359,lemon,12
360,ful,6
361,lạ,1866
362,starbucks,8
363,mụ,2
364,tháo,8
365,pop,12
366,trọn,36
367,pmai,2
368,tránh,148
369,bốn,36
370,trung,226
371,rio,6
372,mới,6910
373,profile,2
374,san,20
375,phóng,36
376,chair,2
377,map,12
378,thăng,2
379,lầu,834
380,chile,6
381,rồià,2
382,chừng,138
383,kgà,2
384,ngăn,36
385,vip,2
386,mỗi,2680
387,mấy,5620
388,kfc,10
389,cinebox,2
390,bố,18
391,góp,14
392,kẹo,170
393,xéo,4
394,ibokstop,2
395,large,8
396,dị,20
397,bers,2
398,led,2
399,copmark,2
400,hah,2
401,nuonglui,2
402,toi,56
403,pate,24
404,cập,28
405,lỡ,116
406,machiato,12
407,mytv,2
408,hị,10
409,kê,158
410,lover,6
411,rock,26
412,tks,2
413,mùi,2140
414,trùng,14
415,nồng,20
416,want,4
417,du,168
418,nhịn,22
419,nigiri,4
420,lie,2
421,muôn,14
422,muội,44
423,plate,2
424,luốn,2
425,chợ,268
426,bestintown,2
427,sl,2
428,pato,2
429,thèm,1240
430,hươu,2
431,culture,4
432,cũm,4
433,mật,22
434,yến,4
435,búa,2
436,lệ,28
437,mocha,12
438,tho,30
439,hiềnko,2
440,thach,2
441,thúch,2
442,hayđồ,2
443,nguyễn,104
444,phô,4
445,lion,2
446,gă,14
447,nhận,426
448,chuâ,4
449,nghịp,2
450,serves,2
451,sv,26
452,tataki,2
453,wakame,4
454,cánh,72
455,gián,16
456,vat,4
457,campuchia,6
458,jkhi,2
459,sổ,4
460,hỷ,4
461,hoài,524
462,aces,2
463,quâ,20
464,trượt,40
465,nhá,10
466,quạt,106
467,handmade,8
468,today,18
469,pros,2
470,omega,16
471,nhóe,2
472,hoắc,2
473,kmai,2
474,line,38
475,nghệ,62
476,thấynước,2
477,clip,2
478,quẩy,16
479,tê,96
480,kanten,2
481,cờ,48
482,hôn,16
483,hớt,2
484,vàng,350
485,bth,2
486,mayonaise,2
487,lunươ,2
488,phãi,2
489,coe,2
490,sua,6
491,xôi,718
492,trơn,88
493,road,4
494,bolognese,2
495,sugest,6
496,cach,2
497,hãm,6
498,kề,14
499,thề,24
500,ngonmình,2
501,chuông,98
502,hă,6
503,studio,22
504,rẻhambuger,2
505,qué,2
506,experinces,2
507,phá,152
508,soya,8
509,cho,11028
510,tia,12
511,ang,1642
512,chà,298
513,vghe,2
514,hẹ,4
515,shoping,2
516,rai,6
517,gầu,4
518,thươ,12
519,chọn,1774
520,maps,4
521,cơm,3144
522,nhậtnằm,2
523,bank,4
524,văn,86
525,că,8
526,hđó,2
527,qua,4720
528,nữathêm,2
529,education,4
530,have,124
531,giàn,12
532,cá,1900
533,ned,4
534,dồ,2
535,os,4
536,bingsu,26
537,camp,2
538,tội,76
539,korea,6
540,comgangon,2
541,gogi,14
542,bồng,4
543,cury,4
544,dáng,12
545,nghé,2
546,ay,2
547,wafle,4
548,pasio,2
549,tiế,2
550,thọ,8
551,phán,2
552,bistro,2
553,action,2
554,salads,2
555,tả,136
556,sangqua,2
557,yay,4
558,tron,4
559,bún,1180
560,giản,4
561,got,10
562,tái,126
563,tă,10
564,mít,130
565,luộc,188
566,vể,2
567,dela,2
568,nảy,10
569,xe,3524
570,sequaylai,2
571,luônbắp,2
572,wasabi,6
573,trang,316
574,up,252
575,keo,14
576,auto,4
577,kím,6
578,khẩu,4
579,sót,10
580,biệt,142
581,vz,2
582,nắm,80
583,caesar,8
584,divola,2
585,gion,8
586,sấu,2
587,clean,2
588,hà,196
589,lamb,2
590,thất,12
591,fresh,16
592,crab,2
593,lơ,32
594,biên,26
595,dzo,4
596,europe,2
597,bèn,6
598,luôngì,2
599,chi,2097
600,bery,8
601,yingyang,2
602,fai,10
603,end,28
604,date,4
605,vư,76
606,khoảng,1052
607,bakery,18
608,mac,10
609,low,4
610,nvt,4
611,salami,2
612,chán,286
613,gato,6
614,tươg,2
615,al,112
616,burata,6
617,nghen,12
618,hotline,2
619,ngặt,2
620,xen,10
621,cước,2
622,nét,172
623,tomyum,20
624,cứ,1804
625,dat,8
626,hv,2
627,nui,16
628,rau,1540
629,nỏ,2
630,poca,2
631,nquán,2
632,mn,6
633,vnđ,2
634,trùm,20
635,dịu,206
636,bệnh,30
637,mị,2
638,tren,8
639,nghiệp,10
640,sgmình,2
641,chaiko,2
642,liê,10
643,didn,4
644,lông,90
645,theo,2926
646,since,2
647,hnay,16
648,bà,492
649,size,278
650,moriawas,2
651,mini,90
652,trươ,28
653,rụm,16
654,baotucachienxu,2
655,spice,2
656,báu,2
657,lá,402
658,mắtgọi,2
659,nghĩa,106
660,tép,4
661,elizabeth,2
662,anh,2350
663,fanpage,4
664,yoghurt,6
665,choy,2
666,hằng,70
667,jamlog,2
668,melon,2
669,pleiku,4
670,shi,2
671,zẻo,2
672,rung,20
673,sicilia,2
674,bữa,1284
675,tea,144
676,cs,6
677,city,60
678,chấm,942
679,suprime,2
680,cmái,2
681,nội,32
682,hoiandailytours,2
683,babies,2
684,south,8
685,special,40
686,kiêm,22
687,nhe,42
688,metro,18
689,nisaka,2
690,chôn,2
691,thiết,26
692,bonheur,2
693,bổn,2
694,chấp,8
695,vở,2
696,decor,38
697,el,6
698,rum,4
699,ranger,4
700,lực,8
701,river,6
702,more,42
703,tuyền,8
704,pancake,10
705,thạc,2
706,mừng,106
707,chẹpcác,2
708,sảng,4
709,nghiêm,12
710,ntâm,2
711,cầu,338
712,chewy,2
713,sói,4
714,chậu,104
715,product,2
716,sụn,12
717,thông,108
718,nun,2
719,hurt,6
720,khongian,2
721,nhiwng,2
722,pvu,2
723,kat,2
724,cần,1108
725,nếm,2
726,point,4
727,lỗi,28
728,chốn,36
729,quái,10
730,crepes,4
731,co,1864
732,shop,40
733,nhẽo,2
734,lop,2
735,tropical,4
736,whiped,6
737,nature,4
738,rât,6
739,cáu,2
740,services,2
741,rửa,106
742,ubnd,6
743,ngonquán,4
744,spaguety,2
745,mém,2
746,luyện,10
747,tưới,14
748,tàu,372
749,nươ,82
750,khe,14
751,tables,4
752,savory,2
753,italian,2
754,xuyên,126
755,trưa,1154
756,shushi,2
757,viết,294
758,table,18
759,menma,2
760,máu,34
761,chă,56
762,contact,2
763,yêu,890
764,tuyệtcó,2
765,fast,4
766,mirinda,2
767,thế,494
768,box,16
769,now,20
770,toan,4
771,zìa,4
772,chôclate,4
773,dụ,24
774,kichi,2
775,etc,2
776,bi,324
777,thới,2
778,had,46
779,nứa,6
780,taisuki,2
781,tốt,2766
782,was,240
783,louis,2
784,riêu,44
785,hươ,8
786,there,58
787,vơid,2
788,nữađiểm,2
789,ngói,44
790,bread,4
791,which,42
792,nhiêtn,2
793,gắp,12
794,giảng,12
795,roài,4
796,rĩnh,2
797,hand,2
798,lươ,86
799,rare,10
800,hk,2
801,trao,12
802,lon,98
803,cơn,88
804,bở,12
805,hoá,18
806,sào,2
807,insalata,2
808,coleagues,4
809,tiêu,296
810,thằng,130
811,ps,52
812,mucrimiskim,4
813,mác,8
814,chầu,18
815,chảng,24
816,punch,2
817,memu,2
818,nvê,2
819,khọ,2
820,muô,28
821,service,102
822,hihih,2
823,kgia,2
824,minibar,2
825,icream,2
826,lam,74
827,trạm,22
828,art,32
829,another,6
830,nửa,294
831,vincom,22
832,qt,2
833,chệ,2
834,sr,14
835,hoangdukhuong,2
836,banhtrangthitluoc,2
837,regulary,2
838,xiên,22
839,elegant,2
840,grenea,2
841,lầm,28
842,blend,2
843,quản,4
844,pastry,2
845,fo,2
846,samoyed,2
847,premium,4
848,sake,6
849,yep,2
850,team,36
851,nem,280
852,họ,494
853,que,324
854,gam,44
855,thừ,2
856,korean,4
857,cha,242
858,amazon,2
859,hạt,466
860,non,126
861,mid,4
862,skin,6
863,nhét,2
864,kỹ,146
865,dưa,216
866,khuất,146
867,definitely,4
868,piano,94
869,hát,320
870,club,98
871,bargain,2
872,rộg,2
873,relaxed,2
874,ngắm,870
875,found,6
876,tastong,2
877,kg,250
878,ph,30
879,nhậu,6
880,sừng,14
881,bợt,2
882,khép,2
883,vđ,2
884,bửa,2
885,phile,2
886,bang,16
887,especialy,6
888,ok,3266
889,xét,48
890,mâm,78
891,utm,2
892,dquán,2
893,blues,2
894,săn,44
895,với,13774
896,barbos,6
897,kids,2
898,trìh,2
899,kiêu,20
900,tầm,1220
901,spicy,4
902,ké,2
903,choẹ,8
904,béo,1888
905,thuyền,104
906,sâm,136
907,iceblend,6
908,kẹt,2
909,lặc,2
910,tá,24
911,ngay,3200
912,eo,76
913,trag,6
914,not,118
915,kịch,16
916,mau,122
917,tang,6
918,smoth,4
919,mashmalow,2
920,toliets,2
921,nường,2
922,khanh,6
923,share,6
924,cos,2
925,cigarlover,2
926,bunhen,1
927,não,26
928,ngưng,16
929,best,110
930,dq,22
931,tối,2344
932,hy,8
933,ngonmeli,2
934,quýt,2
935,donuong,2
936,houji,2
937,mucrim,2
938,máy,276
939,host,2
940,lap,30
941,loạn,18
942,xuô,2
943,loan,22
944,hùi,2
945,abc,18
946,thì,21096
947,tra,598
948,going,6
949,fredom,4
950,blue,94
951,nhát,12
952,nhatrang,2
953,xuố,2
954,drinks,20
955,bluebery,10
956,ngaytàu,2
957,nạc,64
958,dỏm,4
959,mushrom,2
960,gãy,8
961,tocnic,2
962,tháp,92
963,nếp,76
964,fair,2
965,sưã,2
966,kamws,2
967,khoang,12
968,hanu,4
969,thăn,4
970,man,32
971,voucher,14
972,rosini,2
973,batman,2
974,dim,4
975,tortilas,4
976,nvậy,2
977,bac,4
978,sofia,2
979,ngấy,2
980,site,2
981,its,18
982,phía,700
983,ti,644
984,pải,2
985,chả,1174
986,bắt,194
987,giếng,8
988,rát,2
989,hoăc,2
990,hashtag,917
991,reply,2
992,katy,4
993,flap,2
994,nchung,10
995,hủ,400
996,pig,4
997,logic,8
998,pít,2
999,kẹp,86
1000,mặn,1056
1001,tako,4
1002,cakes,4
1003,kèm,2330
1004,vao,2
1005,vệt,2
1006,kimbap,28
1007,tắt,50
1008,dạo,426
1009,lăng,26
1010,snicker,2
1011,hoc,12
1012,nhẩn,2
1013,lây,2
1014,rg,2
1015,chùa,262
1016,basketnhưng,2
1017,vou,2
1018,ghiềnmấy,2
1019,california,16
1020,volume,2
1021,france,2
1022,khỏi,1546
1023,hỏi,980
1024,nàyvà,2
1025,xủng,2
1026,nodle,6
1027,gogle,2
1028,comeback,2
1029,carbon,2
1030,bưng,22
1031,kệ,2
1032,saigon,82
1033,rằm,46
1034,calichi,2
1035,cocktail,8
1036,mose,2
1037,dia,26
1038,story,22
1039,purpose,4
1040,gai,16
1041,gậy,10
1042,giây,12
1043,girl,26
1044,maguro,2
1045,gram,26
1046,bôn,2
1047,thưởng,66
1048,gang,20
1049,càng,598
1050,nhoa,10
1051,nghìn,68
1052,update,2
1053,nostalgia,2
1054,mrle,2
1055,milkbar,2
1056,sứ,50
1057,ngự,4
1058,red,82
1059,soup,42
1060,phòng,1542
1061,thách,2
1062,talk,8
1063,xứng,72
1064,breze,2
1065,hêhe,2
1066,quận,476
1067,film,48
1068,nước,7070
1069,peanut,2
1070,lạc,148
1071,vđấy,2
1072,check,14
1073,lovers,6
1074,nhậm,4
1075,pbữa,2
1076,campaign,2
1077,nhọn,2
1078,xã,70
1079,tù,12
1080,thạnh,18
1081,band,48
1082,yang,2
1083,ds,40
1084,noi,38
1085,courses,2
1086,rũ,6
1087,lấp,10
1088,oạn,4
1089,because,32
1090,muộn,110
1091,vài,1080
1092,lg,18
1093,thuế,60
1094,tốn,188
1095,reader,2
1096,iced,2
1097,bom,10
1098,vô,1444
1099,devine,2
1100,níu,2
1101,tức,30
1102,ruốchè,2
1103,blah,10
1104,ngọ,4
1105,dau,28
1106,cất,38
1107,col,44
1108,cone,20
1109,times,20
1110,cổly,2
1111,indie,2
1112,han,16
1113,ntmk,2
1114,lãnh,20
1115,thảm,18
1116,lày,2
1117,kết,636
1118,thiet,2
1119,houjicha,4
1120,tòng,2
1121,tí,80
1122,bento,4
1123,goc,2
1124,jaz,2
1125,birthday,6
1126,gắn,64
1127,of,354
1128,dayzs,4
1129,then,4
1130,cưg,2
1131,lo,464
1132,băm,76
1133,pộ,2
1134,ví,22
1135,american,2
1136,nè,96
1137,hiển,6
1138,way,36
1139,cổ,392
1140,bấm,56
1141,kinh,126
1142,khắp,62
1143,kiếm,344
1144,bài,678
1145,central,4
1146,dậo,2
1147,lt,2
1148,tham,48
1149,nô,102
1150,ong,40
1151,tao,36
1152,toàn,1380
1153,chờ,948
1154,vyêu,2
1155,ngét,2
1156,cai,32
1157,cả,5400
1158,né,2
1159,mái,170
1160,tasting,2
1161,string,6
1162,podle,4
1163,sự,1018
1164,wad,2
1165,niêu,2
1166,trùi,2
1167,hoành,18
1168,nhặt,24
1169,frien,2
1170,gap,4
1171,húy,4
1172,chích,6
1173,snitzel,2
1174,cụp,4
1175,nhè,6
1176,trâ,2
1177,jan,6
1178,khuôn,22
1179,matcha,148
1180,luônước,2
1181,kim,84
1182,starchy,2
1183,nư,92
1184,thánh,18
1185,sâ,4
1186,hihitiền,2
1187,healthy,4
1188,hòng,2
1189,brownie,10
1190,thườg,4
1191,mũi,116
1192,thặc,2
1193,chẹpquán,2
1194,nằm,2460
1195,comcuontrung,2
1196,tử,50
1197,enjoy,6
1198,kakao,4
1199,compared,4
1200,thở,118
1201,sukiyaki,6
1202,came,2
1203,thâp,2
1204,ghê,48
1205,salon,6
1206,wan,4
1207,young,10
1208,hjxhjx,2
1209,chẳng,342
1210,tiền,1656
1211,zẻ,12
1212,iên,4
1213,chồng,96
1214,cabin,4
1215,coton,2
1216,tôn,36
1217,chéo,4
1218,tuyến,18
1219,vegies,2
1220,giở,2
1221,hạ,30
1222,forward,4
1223,luch,2
1224,lui,26
1225,picture,2
1226,chói,2
1227,cớ,2
1228,ntn,8
1229,thoy,8
1230,phối,16
1231,gần,3098
1232,phơi,24
1233,chém,126
1234,bpf,2
1235,chosen,2
1236,gũi,2
1237,fô,2
1238,phốc,2
1239,flavors,2
1240,cường,2
1241,nhécó,2
1242,soda,46
1243,nq,2
1244,dichvudulichbien,2
1245,nứt,12
1246,ghiê,8
1247,thấy,10664
1248,vấuhạt,2
1249,seasoned,2
1250,trasua,12
1251,quality,48
1252,hàmì,2
1253,hè,132
1254,smothie,24
1255,yngon,2
1256,chịu,296
1257,thái,1118
1258,ung,18
1259,thoang,2
1260,tnv,2
1261,wines,2
1262,said,2
1263,thăm,132
1264,mắtđổi,2
1265,shirt,2
1266,nka,2
1267,quyền,26
1268,trụ,14
1269,tìh,2
1270,clasic,4
1271,bu,154
1272,flavor,4
1273,son,10
1274,pamela,2
1275,hút,304
1276,dù,1032
1277,ge,8
1278,vờikem,2
1279,phomaique,2
1280,triển,14
1281,tsữa,2
1282,breakfast,6
1283,lay,4
1284,ungs,2
1285,kha,946
1286,lô,66
1287,fodie,2
1288,tuyết,230
1289,junsachi,2
1290,nhiet,4
1291,sửu,2
1292,angel,2
1293,gà,3808
1294,xúc,16
1295,items,2
1296,crispy,2
1297,thg,4
1298,hipo,2
1299,parking,6
1300,management,2
1301,fan,226
1302,befsteak,14
1303,fujoshi,2
1304,combo,62
1305,niko,4
1306,mua,3202
1307,gạc,2
1308,cững,2
1309,ratoulie,2
1310,dơgiữ,2
1311,zưới,2
1312,nickname,4
1313,yogurt,22
1314,macarons,2
1315,arts,2
1316,ngonchu,2
1317,indor,2
1318,rút,128
1319,chiêb,2
1320,ngón,12
1321,varieties,2
1322,pgia,2
1323,furious,4
1324,mi,1574
1325,xư,12
1326,phai,2
1327,cake,106
1328,sang,882
1329,cột,36
1330,nổ,40
1331,ala,2
1332,thức,1300
1333,thêu,4
1334,nán,4
1335,branzino,2
1336,upon,2
1337,other,24
1338,cant,2
1339,les,18
1340,each,4
1341,den,18
1342,snacks,2
1343,chứa,118
1344,kawai,2
1345,som,2
1346,thank,2
1347,sin,10
1348,work,14
1349,xám,12
1350,nâu,72
1351,rồichốt,2
1352,xep,4
1353,nới,8
1354,râ,180
1355,quite,2
1356,soju,4
1357,ghiền,50
1358,haha,14
1359,cuoc,2
1360,part,2
1361,rang,396
1362,phà,44
1363,weding,2
1364,italia,12
1365,used,4
1366,hô,276
1367,nĩa,16
1368,gò,18
1369,robert,2
1370,statement,2
1371,từng,1500
1372,creams,2
1373,rực,2
1374,smile,2
1375,rễ,26
1376,nhạc,1638
1377,hiệu,24
1378,lhoai,2
1379,bánh,10000
1380,bỗng,12
1381,cán,4
1382,raspbery,4
1383,siêu,1994
1384,chợt,4
1385,ngoại,36
1386,pharaoh,2
1387,nụ,12
1388,lộc,28
1389,xâ,4
1390,nung,2
1391,soa,2
1392,mìh,12
1393,học,972
1394,sươn,2
1395,nghêu,8
1396,món,18050
1397,ngọtxoài,2
1398,chuồng,12
1399,gâ,30
1400,decorated,4
1401,ngonước,2
1402,chào,320
1403,cóc,76
1404,tag,6
1405,sent,2
1406,niwax,2
1407,tiếng,674
1408,menu,2132
1409,pane,2
1410,lâm,26
1411,kemflan,2
1412,beo,2
1413,trật,2
1414,gửi,786
1415,chn,2
1416,treat,2
1417,dược,10
1418,phọng,2
1419,tortino,2
1420,nào,5528
1421,vỏ,406
1422,bjo,2
1423,sunrise,4
1424,cáo,6
1425,cofe,112
1426,nhứt,10
1427,bitexco,6
1428,kgian,2
1429,cở,2
1430,quyến,4
1431,vôi,8
1432,hehe,70
1433,soi,24
1434,nhiễm,6
1435,iện,2
1436,munhf,2
1437,most,16
1438,shiper,2
1439,lợ,8
1440,ky,66
1441,won,2
1442,dorm,2
1443,lốc,28
1444,luônđem,2
1445,emotion,2
1446,chuyển,298
1447,graphics,2
1448,banchan,2
1449,gx,2
1450,album,22
1451,nắng,332
1452,costa,6
1453,burger,30
1454,hòi,2
1455,ahihi,2
1456,photography,2
1457,lõm,2
1458,gi,222
1459,mút,22
1460,sg,304
1461,htm,2
1462,khuấy,4
1463,thoi,56
1464,te,30
1465,vâng,16
1466,xoắn,22
1467,nậm,16
1468,tím,102
1469,say,122
1470,bach,2
1471,ngài,10
1472,cahoidutlo,2
1473,ko,8018
1474,simon,2
1475,marshmalow,2
1476,ground,2
1477,ombre,4
1478,nhiêu,94
1479,ngonkhongtheta,2
1480,tráng,62
1481,nghi,92
1482,leaf,2
1483,mắm,364
1484,chânsau,2
1485,pc,4
1486,quý,40
1487,into,4
1488,mệt,10
1489,carefuly,2
1490,oke,4
1491,liên,26
1492,bgon,2
1493,teoboki,2
1494,escape,2
1495,papa,2
1496,châ,74
1497,bọt,84
1498,ngả,18
1499,dở,8
1500,planing,2
1501,lunches,2
1502,lục,28
1503,wá,2
1504,down,18
1505,mon,100
1506,giống,1112
1507,motor,4
1508,ric,2
1509,kcreme,2
1510,rating,2
1511,hix,14
1512,cải,158
1513,nsl,2
1514,tivi,2
1515,diligent,2
1516,rãnh,76
1517,oceanfront,2
1518,white,20
1519,masterchef,2
1520,phucvutantinh,2
1521,tiger,22
1522,trầm,68
1523,nơ,32
1524,hạnh,12
1525,gem,2
1526,chiến,18
1527,họcđể,2
1528,móng,28
1529,thiê,42
1530,pokipoki,2
1531,id,2
1532,maki,12
1533,br,62
1534,lật,6
1535,dán,70
1536,chúc,220
1537,klq,4
1538,kiều,10
1539,ty,20
1540,tanh,12
1541,mư,12
1542,kình,4
1543,trăng,24
1544,recomande,2
1545,mổ,8
1546,bụi,70
1547,nghiền,202
1548,duy,40
1549,hơn,7070
1550,is,374
1551,vó,2
1552,and,668
1553,luônói,2
1554,cauda,2
1555,dể,8
1556,cộngsẽ,2
1557,mên,2
1558,casi,2
1559,lăm,20
1560,của,10380
1561,ai,1794
1562,dinh,48
1563,buồng,4
1564,tố,6
1565,kbạn,2
1566,loi,2
1567,iph,4
1568,kio,2
1569,tây,598
1570,phơ,4
1571,moktail,2
1572,text,14
1573,reasonable,2
1574,lạnhnhân,2
1575,lă,72
1576,giòn,2194
1577,type,2
1578,cuống,22
1579,tokboki,20
1580,bufet,52
1581,lớndc,2
1582,tà,2
1583,robins,4
1584,yeah,4
1585,bá,250
1586,như,6884
1587,xgia,2
1588,néu,2
1589,khói,364
1590,fod,52
1591,kêu,1586
1592,thành,454
1593,khôn,10
1594,thả,124
1595,nạp,8
1596,ce,10
1597,dập,26
1598,rong,66
1599,vùi,2
1600,jumbo,2
1601,ngỗng,58
1602,chảo,266
1603,bịt,12
1604,chỉnh,48
1605,phải,6338
1606,dịch,4
1607,nek,6
1608,họng,56
1609,nhât,2
1610,seafod,22
1611,hoho,2
1612,thự,2
1613,muỗi,40
1614,joging,2
1615,cát,126
1616,post,62
1617,tổng,234
1618,mõi,6
1619,bới,6
1620,hân,2
1621,court,8
1622,nêu,16
1623,sanh,4
1624,mobile,2
1625,ninja,2
1626,vongole,4
1627,khóc,24
1628,dc,726
1629,yum,8
1630,vì,7102
1631,bot,6
1632,quấn,34
1633,chui,80
1634,dnói,2
1635,gác,60
1636,nhích,2
1637,bene,2
1638,pub,54
1639,french,14
1640,afordable,4
1641,bầy,22
1642,caphesach,2
1643,nay,890
1644,list,78
1645,thắp,30
1646,làng,38
1647,tuk,4
1648,má,56
1649,tamarind,2
1650,de,112
1651,with,186
1652,bìh,2
1653,orient,2
1654,imported,2
1655,nguyệt,4
1656,zô,16
1657,xóc,4
1658,hố,22
1659,roftop,4
1660,oa,14
1661,về,5808
1662,em,2086
1663,buông,2
1664,xào,854
1665,choáng,4
1666,khac,4
1667,om,8
1668,chiếu,162
1669,lị,2
1670,mĩên,2
1671,họa,2
1672,thăg,2
1673,mo,750
1674,iu,22
1675,oan,4
1676,ngà,2
1677,circle,8
1678,tưng,2
1679,vùngnếu,2
1680,lư,50
1681,convenient,2
1682,lùi,6
1683,front,2
1684,lịch,60
1685,hợp,1272
1686,chua,898
1687,hạc,2
1688,nhuyển,2
1689,simple,2
1690,cắn,180
1691,hậu,20
1692,pé,4
1693,mòn,24
1694,chiêu,4
1695,cac,54
1696,ho,1743
1697,trỗi,6
1698,quán,35136
1699,ship,42
1700,remind,2
1701,cones,2
1702,crepe,22
1703,family,26
1704,baby,14
1705,kji,2
1706,dùg,2
1707,thủng,4
1708,mượn,48
1709,xóa,2
